,rut,nombre,Q (m3/s),flag
1959-10-04,05737002-5,RIO MAPOCHO RINCONADA DE MAIPU,21.1,     
1947-06-10,05737005-K,RIO MAPOCHO EN EL MONTE,15.0,     
2016-06-01,05737019-K,RIO MAPOCHO EN EL TREBAL,6.47,     
1976-12-16,05740001-3,RIO MAIPO EN CHIGNIGUE (JUNCAL),21.7,     
1929-04-10,05740002-1,CANAL MAIPO EN CHOCALAN,55.7,*    
1929-06-26,05741001-9,ESTERO PUANGUE EN BOQUERON,0.673,     
1986-10-26,05746001-6,ESTERO PUANGUE EN RUTA 78,3.0,<    
1939-04-19,05748001-7,RIO MAIPO EN CABIMBAO,34.4,*    
1987-04-04,06000001-8,RIO LAS LEGNAS COTA 2150,3.23,     
2006-11-26,06000003-4,RIO LAS LEÑAS ANTE JUNTA RIO CACHAPOAL,17.3,     
1985-09-06,06002001-9,RIO CORTADERAL ANTE JUNTA RIO CACHAPOAL,6.63,*    
1989-06-27,06003001-4,RIO CACHAPOAL 5 KM. AGUAS ABAJO JUNTA CORTADERAL,21.2,*    
1985-11-08,06006001-0,RIO PANGAL EN PANGAL,14.9,     
1914-12-01,06008001-1,RIO CACHAPOAL EN CHICAYAS,42.2,*    
1914-11-27,06008002-K,RIO CACHAPOAL EN COYA,113.0,*    
1920-11-04,06008003-8,RIO COYA EN COYA,10.0,*    
2002-09-26,06008005-4,RIO CACHAPOAL EN PTE TERMAS DE CAUQUENES,24.6,     
2005-07-29,06008009-7,CANAL SAUZAL EN PUENTE TERMAS,47.4,     
1986-02-01,06009001-7,RIO CLARO EN CAMPAMENTO,0.048,     
1983-05-10,06011001-8,ESTERO DE LA CADENA ANTES JUNTA RIO CACHAPOAL,2.76,     
1920-12-01,06013001-9,RIO CLARO EN HACIENDA LAS NIEVES,10.1,     
1933-10-10,06013002-7,CANAL TIPAUME EN PUENTE (SUC CELIS),0.955,     
1994-04-28,06015001-K,RIO CLARO EN TUNCA,34.3,     
1985-10-16,06018001-6,ESTERO ZAMORANO EN PUENTE EL NICHE,15.1,*    
1916-04-19,06018002-4,RIO CACHAPOAL EN PEUMO (BRAZO # 1),34.6,     
1916-04-19,06018003-2,RIO CACHAPOAL EN PEUMO (BRAZO # 2),14.7,     
1916-04-19,06018004-0,RIO CACHAPOAL EN PEUMO (BRAZO # 3),0.362,*    
2002-09-25,06019003-8,RIO CACHAPOAL EN PUENTE ARQUEADO (CA),148.0,     
1970-05-08,06025001-4,RIO TINGUIRIRICA AGUAS ABAJO JUNTA RIO AZUFRE,10.2,     
1970-05-01,06027001-5,RIO CLARO EN EL VALLE,8.11,     
1917-10-01,06027002-3,RIO CLARO EN PUENTE NEGRO,19.2,     
1921-11-01,06028001-0,RIO TINGUIRIRICA BAJO LOS BRIONES,56.0,     
1968-10-31,06033001-8,ESTERO CHIMBARONGO EN CONVENTO VIEJO,3.75,     
2002-10-30,06033009-3,CANAL TENO EN KM. 13.465,42.6,     
2009-07-02,06033011-5,ESTERO CHIMBARONGO EN RUTA 5,7.55,     
1945-04-07,06034001-3,ESTERO CHIMBARONGO EN SANTA CRUZ,12.6,     
2008-04-07,06034022-6,ESTERO CHIMBARONGO BAJO EMBALSE CONVENTO VIEJO,40.4,     
2009-04-05,06034023-4,ESTERO CHIMBARONGO EN PUENTE EL HUAPE,13.2,     
2002-09-27,06035001-9,RIO TINGUIRIRICA EN LOS OLMOS (CA),142.0,     
1970-05-11,06043001-2,ESTERO ALHUE EN QUILAMUTA,0.245,     
1939-11-03,06056001-3,RIO RAPEL EN RAPEL,52.8,     
1985-07-02,06132001-6,ESTERO NILAHUE EN SANTA TERESA,2.7,     
1947-12-11,07100001-K,QUEBRADA MALO EN PUENTE VIEJO,6.45,     
1938-04-01,07102001-0,RIO TENO EN LOS QUEÑES,17.6,     
1985-01-14,07102005-3,RIO TENO BAJO QUEBRADA INFIERNILLO,65.5,*    
1929-05-01,07103001-6,RIO CLARO EN LOS QUEÑES,3.44,     
1959-08-01,07104001-1,ESTERO EL MANZANO ANTES JUNTA RIO TENO,7.09,     
1947-09-29,07104002-K,RIO TENO DESPUES DE JUNTA CON CLARO,47.0,     
1984-12-26,07106001-2,CANAL TENO CHIMBARONGO KM. 1.301,87.9,*    
1917-11-11,07112001-5,RIO COLORADO EN JUNTA CON PALOS,43.4,     
1947-05-01,07115001-1,RIO PALOS EN JUNTA CON COLORADO,12.5,     
1963-02-15,07116001-7,ESTERO UPEO EN UPEO,0.458,     
1951-11-05,07117001-2,RIO LONTUE EN LONGITUDINAL,77.2,     
2017-08-17,07117008-K,RIO LONTUE EN PUENTE EL YACAL,55.9,     
1918-01-01,07119001-3,RIO LONTUE ANTES DE JUNTA,51.6,     
1916-12-01,07119002-1,RIO LONTUE EN LONTUE LO VALDIVIA,67.0,*    
1916-11-24,07120001-9,RIO MATAQUITO EN EL MORRILLO,95.7,     
2017-01-01,07121006-5,RIO MATAQUITO EN PUENTE LA HUERTA,17.5,     
2020-01-23,07121011-1,ESTERO CULENAR EN VILLA PRAT,0.013,     
1987-01-20,07123001-5,RIO MATAQUITO EN LICANTEN,110.0,     
2013-07-01,07200002-1,RIO HUENCHULLAMI EN COIPUE,4.28,     
2004-01-29,07300001-7,RIO MAULE EN DESAGUE LAGUNA DEL MAULE,63.9,     
2002-10-30,07303000-5,RIO MAULE EN LOS BAÑOS,130.0,     
2002-10-31,07306001-K,RIO CIPRESES EN DASAGUE LAGUNA LA INVERNADA,12.9,     
2017-10-12,07307000-7,RIO COLORADO EN CURILLINQUE,17.4,*    
2002-09-26,07308000-2,CANAL AD. MAULE C. PEHUENCHE,115.0,     
2002-09-13,07308001-0,ESTERO LAS GARZAS,0.2,<    
2003-01-10,07308002-9,RIO MAULE BAJO BOCA TOMA MAULE CENTRAL PEHUENCHE,113.0,     
2002-12-13,07308003-7,CANAL LAS GARZAS,0.981,     
1962-05-10,07314001-3,RIO HUAIQUIVILO EN HUAIQUIVILO,10.3,     
1916-03-01,07317001-K,RIO MELADO EN LA LANCHA DGA,66.7,     
2002-09-06,07317002-8,CANAL MELADO EN LOS HIERROS,0.002,*    
2002-12-20,07317003-6,RIO MELADO EN ZONA DE PRESA,82.6,     
2003-04-15,07317005-2,RIO MELADO EN EL SALTO,18.3,     
2019-06-03,07317006-0,CANAL MELADO EN C. HIDROELECTRICA LOS HIERROS I,23.9,*    
2002-10-30,07320003-2,RIO CLARO EN SAN CARLOS,48.5,     
1947-09-01,07321002-K,RIO MAULE EN ARMERILLO,125.0,     
1967-01-18,07321003-8,CANAL MAULE NORTE EN AFORADOR,42.1,     
1928-11-05,07321004-6,CANAL MAULE EN BOCATOMA,13.7,     
2002-09-05,07321005-4,CANAL DE EVACUACION C. PEHUENCHE,333.0,     
2004-08-25,07321007-0,CANAL MAULE NORTE ALTO EN PASO NEVADO,0.3,     
1962-08-02,07322001-7,RIO MAULE EN LONGITUDINAL,115.0,     
1971-11-05,07322002-5,CANAL MAULE SUR EN AFORADOR,37.9,     
1982-08-01,07322003-3,CANAL MAULE SUR EN LOS LIRIOS,4.75,     
1954-01-02,07322004-1,RIO MAULE EN COLBUN,782.0,     
2004-08-04,07322005-K,CANAL DE RESTITUCION SUR 2,0.615,     
2004-08-04,07322006-8,CANAL DE RESTITUCION SUR 3,0.444,     
2004-08-26,07322007-6,CANAL SAN CLEMENTE,0.783,<    
2004-07-30,07322008-4,CANAL DUAO ZAPATA,1.69,     
1930-09-02,07330001-0,RIO PERQUILAUQUEN EN SAN MANUEL,131.0,*    
1947-10-12,07331001-6,RIO CATO EN DIGUA,2.56,     
2011-10-18,07331004-0,CANAL ALIMENTADOR DIGUA,20.4,     
1967-03-10,07332001-1,RIO PERQUILAUQUEN EN GNIQUEN,2.76,     
1963-02-20,07335001-8,RIO PERQUILAUQUEN EN QUELLA,0.38,*    
1968-01-12,07335002-6,ESTERO CURIPEUMO EN LO HERNANDEZ,0.087,     
1968-07-02,07335003-4,RIO PERQUILAUQUEN EN SANTA EMA,10.0,     
1945-03-14,07336001-3,RIO CAUQUENES EN EL ARRAYAN,0.8,     
1945-03-05,07337001-9,RIO TUTUVEN EN EL ROBLE,0.238,     
1986-04-16,07339001-K,RIO CAUQUENES EN DESEMBOCADURA,0.776,     
1968-04-16,07340001-5,ESTERO CARDO VERDE EN LO UBALDO,0.0,<    
1957-02-28,07341001-0,RIO PURAPEL EN NIRIVILO,0.0,<    
2018-04-12,07341003-7,QUEBRADA PASITOS EN SANTA OLGA,0.01,     
1951-09-04,07342001-6,RIO PURAPEL EN PURAPEL,7.54,*    
1981-06-02,07343001-1,RIO PURAPEL EN SAUZAL,78.1,     
1937-04-20,07350001-K,RIO LONGAVI EN LA QUIRIQUINA,8.78,     
1926-12-17,07350002-8,RIO BULLILEO EN SANTA FILOMENA,2.46,     
1964-05-21,07350003-6,RIO LONGAVI EN EL CASTILLO,8.28,     
1940-08-03,07350004-4,RIO BULLILEO EN PORTAL TUNEL,22.6,     
1929-07-22,07350005-2,RIO LONGAVI ANTES JUNTA BULLILEO,36.3,     
1963-07-30,07351001-5,RIO LONGAVI EN LONGITUDINAL,99.6,     
2012-04-02,07351002-3,CANAL PRIMERA ABAJO,0.234,     
2011-09-07,07352004-5,CANAL MAITENES EN BOCATOMA,0.202,<    
1947-03-22,07354001-1,RIO ACHIBUENO EN LOS PEGNASCOS,12.5,     
1986-11-01,07354002-K,RIO ACHIBUENO EN LA RECOVA,51.8,     
1962-12-16,07355001-7,RIO ANCOA EN EL LLEPO,0.348,     
1952-06-12,07355002-5,RIO ANCOA EN EL MORRO,12.2,     
1961-11-30,07355003-3,RIO ANCOA ANTES TUNEL CANAL MELADO,10.4,     
1916-05-01,07355004-1,RIO ANCOA EN LAS MINAS,3.25,     
1947-03-18,07355005-K,RIO ANCOA EN LAS VEGAS,6.71,     
2000-04-26,07355008-4,CANAL ROBLERIA ANTE BOCATOMA ANCOA,1.28,     
1975-07-22,07356001-2,RIO ACHIBUENO EN SAN FRANCISCO,101.0,     
1963-05-23,07357001-8,RIO LONCOMILLA EN EN EMBOQUE,234.0,     
1967-05-05,07357002-6,RIO LONCOMILLA EN BODEGA,25.5,     
1946-04-14,07358001-3,RIO PUTAGAN EN YERBAS BUENAS,11.5,     
1916-05-01,07358002-1,RIO PUTAGAN EN PUTAGAN,0.324,     
1946-11-01,07358003-K,RIO PUTAGAN EN SANTA ROSA,10.6,     
2005-02-28,07358010-2,CANAL DE RESTITUCION SUR 1,30.8,>    
1975-05-22,07359001-9,RIO LONCOMILLA EN LAS BRISAS,92.7,     
1948-06-10,07359003-5,RIO LONCOMILLA EN SAN JAVIER,760.0,     
1928-12-01,07361001-K,RIO MAULE EN LONCOMILLA,82.3,     
1936-03-01,07372001-K,RIO CLARO EN CAMARICO,6.8,     
1915-10-06,07372002-8,RIO CLARO EN PUENTE CIMBRA,26.4,     
1961-12-18,07374001-0,RIO LIRCAY EN PUENTE LAS RASTRAS,1.44,     
1996-10-17,07374002-9,CANAL MAULE NORTE BAJO SECCION 1,2.83,     
1996-10-21,07374003-7,CANAL MAULE NORTE BAJO SECCION 2,15.7,     
2017-01-01,07375000-8,ESTERO PICAZO EN HUAPI,5.53,     
2016-02-28,07376003-8,CANAL PENCAHUE EN BOCATOMA RIO LIRCAY,8.02,     
2000-10-17,07378011-K,CANAL MAULE NORTE BAJO EN PUENTE CENTINELA,9.68,     
2004-07-29,07378012-8,QUEBRADA COLORADO EN DESAGÜE LAGUNA LOS TEMOS,0.982,     
2004-08-05,07378013-6,QUEBRADA COLORADO BAJO SISTEMA MAITENES,1.11,     
1958-11-26,07379001-8,RIO CLARO EN TALCA,32.6,     
1999-02-16,07379002-6,RIO CLARO EN RAUQUEN,30.3,     
2016-11-01,07379005-0,RIO LIRCAY EN CARRETONES,5.51,     
1986-02-20,07381001-9,ESTERO LOS PUERCOS EN PUENTE LOS PUERCOS,0.005,<    
1915-10-01,07382001-4,RIO MAULE EN CUESTA CULENAR,402.0,*    
1985-01-02,07383001-K,RIO MAULE EN FOREL,895.0,*    
1987-07-03,07400001-0,RIO LOANCO EN DESEMBOCADURA,0.592,     
2018-05-03,07440000-0,RIO CHOVELLEN EN EL RISCO,0.402,*    
1966-10-31,08104001-K,RIO SAUCES ANTES JUNTA CON ÑUBLE,73.5,*    
1957-04-06,08105001-5,RIO ÑUBLE EN LA PUNILLA,14.6,     
2018-07-11,08105006-6,RIO ÑUBLE EN LA PUNILLA 2,64.7,     
1946-05-01,08106001-0,RIO ÑUBLE EN SAN FABIAN,23.0,     
1999-03-03,08106002-9,RIO ÑUBLE EN SAN FABIAN N 2,11.4,     
1939-03-22,08110001-2,RIO GNUBLE EN BALSA DE LOS SEPULVEDA,30.8,*    
1971-02-02,08112001-3,RIO NIBLINTO ANTES CANAL ALIMENTADOR EMB. COIHUECO,1.88,     
1971-09-10,08112002-1,CANAL ALIMENTADOR EMBALSE COIHUECO EN BOCATOMA,5.27,     
1971-08-27,08112003-K,CANAL ALIM.EMBALSE COIHUECO EN LOS OLIVO,3.04,     
1956-09-12,08114001-4,RIO CATO EN PUENTE CATO,35.1,     
1956-09-12,08115001-K,RIO GNUBLE EN LONGITUDINAL,161.0,     
1958-02-14,08117001-0,RIO CHILLAN EN LONGITUDINAL,0.058,*    
1939-03-03,08117004-5,RIO CHILLAN EN ESPERANZA,7.28,     
1956-09-29,08117005-3,RIO CHILLAN EN CAMINO A CONFLUENCIA,19.3,     
2003-11-27,08117006-1,RIO CHILLAN EN ESPERANZA N 2,6.0,     
1957-07-19,08117008-8,RIO QUILMO EN CAMINO A YUNGAY (CA),2.5,     
2008-02-02,08117009-6,CANAL DE LA LUZ EN CHILLAN,0.266,     
1956-10-01,08118001-6,RIO CHANGARAL CAMINO A PORTEZUELO,6.24,     
1965-06-28,08119001-1,RIO GNUBLE EN CUCHA COX,469.0,     
1956-11-01,08119002-K,RIO ÑUBLE EN CONFLUENCIA,0.0,<    
1957-11-06,08122001-8,CANAL ZAÑARTU SALIDA LAGUNA TRUPAN,0.899,     
1924-01-22,08123001-3,RIO ITATA EN CHOLGUAN,17.9,     
1958-09-10,08123002-1,CANAL ZAÑARTU BOCATOMA ITATA,3.08,*    
1928-06-23,08123003-K,RIO CHOLGUAN EN CHOLGUAN,54.5,     
1956-01-05,08124001-9,RIO ITATA EN GENERAL CRUZ,59.5,     
1957-11-11,08124002-7,RIO ITATA EN TRILALEO,14.4,     
1940-03-01,08130001-1,RIO RENEGADO EN INVERNADA,2.56,     
1946-05-23,08130002-K,RIO DIGUILLIN EN SAN LORENZO (ATACALCO),15.5,     
1939-01-20,08131001-7,RIO DIGUILLIN EN BALSA ZAPALLAR,16.1,     
1956-09-21,08132001-2,RIO DIGUILLIN EN LONGITUDINAL,56.7,     
1956-09-14,08133001-8,RIO ITATA EN CERRO NEGRO,98.2,     
1946-06-15,08133002-6,RIO ITATA EN LIUCURA,31.5,     
1985-10-01,08134002-1,RIO LARQUI EN CAMINO YUNGAY,1.29,     
1985-01-16,08134003-K,RIO LARQUI EN SANTA CRUZ DE CUCA,2.18,     
1924-02-01,08135001-9,RIO ITATA EN CONFLUENCIA,22.4,     
1956-09-12,08135002-7,RIO ITATA EN BALSA NUEVA ALDEA,103.0,     
2006-06-20,08140002-4,RIO ITATA EN PASO HONDO,840.0,     
1985-08-06,08141001-1,RIO ITATA EN COELEMU,324.0,     
1985-10-08,08144001-8,RIO LONQUEN EN TREHUACO,3.28,     
1985-03-01,08210001-6,RIO PINGUERAL EN DICHATO,1.05,*    
2009-05-01,08210003-2,ESTERO BELLAVISTA EN TOMÉ,8.03,     
1960-11-01,08220001-0,RIO ANDALIEN CAMINO A PENCO,9.04,     
2009-03-11,08220008-8,ESTERO NONGUEN FRENTE U. DEL BIO BIO,0.091,<    
2010-01-01,08220009-6,RIO ANDALIEN EN PUENTE TRINITARIAS,17.7,*    
2015-01-01,08220010-K,RIO ANDALIEN ANTES EX PEAJE CHAIMAVIDA,1.65,     
1985-03-28,08304001-7,RIO LONQUIMAY ANTES JUNTA RIO BIO BIO,12.2,     
2003-02-05,08307002-1,RIO BIO-BIO EN LLANQUEN,59.5,     
2013-12-01,08308000-0,RIO LOMIN EN PUENTE LA JUNTA,16.2,*    
2002-12-06,08312000-2,RIO BIO BIO EN ANGOSTURA RALCO 1,488.0,     
2002-12-07,08312001-0,RIO BIO BIO ANTE JUNTA HUIRI HUIRI,472.0,     
2002-12-04,08313000-8,RIO PANGUE EN CAPTACION,12.1,     
2002-12-04,08313001-6,RIO BIO BIO ANTE JUNTA PANGUE,510.0,     
2013-12-22,08316002-0,RIO HUEQUECURA AGUAS ARRIBA DE EMBALSE ANGOSTURA,1.23,     
1937-06-01,08317001-8,RIO BIOBIO EN RUCALHUE,765.0,     
1942-12-10,08317002-6,RIO LIRQUEN EN CERRO EL PADRE,3.03,     
2013-12-22,08317004-2,RIO BIOBIO EN LA CULEBRA,110.0,     
2014-04-24,08317005-0,RIO BIOBIO EN PUENTE PIULO,94.3,     
1971-11-01,08318001-3,CANAL BIOBIO SUR EN KM 7,28.2,     
1965-04-05,08319001-9,RIO BIOBIO EN LONGITUDINAL,114.0,*    
1962-07-01,08323001-0,RIO DUQUECO EN CERRILLOS,85.6,     
1941-01-01,08323002-9,RIO DUQUECO EN VILLUCURA,30.0,     
2011-01-25,08324002-4,ESTERO PAILLIHUE EN EX LONGITUDINAL SUR,1.02,     
1937-03-23,08330001-9,RIO MULCHEN EN MULCHEN,3.89,     
1929-05-12,08332001-K,RIO BUREO EN MULCHEN,15.7,     
2012-02-09,08333003-1,RIO BUREO EN PUENTE ACCESO A MULCHEN,5.62,     
1928-11-23,08334001-0,RIO BIOBIO EN COIHUE,285.0,     
1948-04-01,08341001-9,RIO RENAICO EN JAUJA,5.5,     
1982-06-18,08342001-4,RIO RENAICO EN LONGITUDINAL,65.4,     
1963-06-01,08343001-K,RIO MININCO EN LONGITUDINAL,2.5,     
1960-06-01,08350001-8,RIO MALLECO EN DESAGÜE MALLECO,2.94,     
1920-02-19,08351001-3,RIO MALLECO EN COLLIPULLI,3.81,*    
1920-02-14,08352001-9,RIO MALLECO EN LOLENCO,1.15,     
1929-06-11,08355001-5,RIO LOS SAUCES EN LAS BALSAS,10.9,     
1997-07-01,08356001-0,RIO RAHUE EN QUEBRADA CULEN,20.2,     
1964-01-01,08358001-1,RIO VERGARA EN TIJERAL,12.4,*    
1928-04-18,08359001-7,RIO VERGARA EN NACIMIENTO,152.0,     
1988-04-01,08362001-3,RIO NICODAHUE EN PICHUN,12.8,     
2007-10-01,08366002-3,ESTERO QUILQUE EN LOS ANGELES,2.26,     
2003-01-16,08370006-8,CANAL ALTO POLCURA,0.0,*    
2003-03-31,08371001-2,CANAL DE DESCARGA CENTRAL ANTUCO,134.0,     
2002-11-19,08372002-6,RIO POLCURA EN CUATRO JUNTA,0.007,<    
2003-07-01,08374002-7,CANAL DE DESCARGA CENTRAL EL TORO,35.0,     
2003-08-07,08375001-4,RIO POLCURA  A. DESC. CENTRAL EL TORO,30.7,     
2003-08-06,08375002-2,CANAL ABANICO EN KM 049,35.2,     
2003-06-11,08375004-9,CANAL ZAÑARTU DESPUES BOCATOMA RIO LAJA,4.3,     
2003-08-10,08375005-7,CANAL COLLAO,0.091,     
2003-01-31,08375006-5,CANAL MIRRIHUE,3.44,     
1983-11-18,08376001-K,RIO RUCUE EN CAMINO A ANTUCO,9.34,*    
1916-03-01,08380001-1,RIO LAJA EN TUCAPEL,97.7,     
1933-10-12,08380002-K,CANAL LAJA CAMINO A TUCAPEL,1.75,*    
1993-10-01,08380003-8,CANAL SIBERIA EN BOCATOMA (REC.R.LAJA),1.26,     
2004-12-01,08380005-4,CANAL LAJA-DIGUILLÍN,10.9,     
2015-01-01,08380006-2,RIO LAJA EN TUCAPEL 2,13.9,     
1958-11-27,08381001-7,RIO LAJA EN EL SALTO,69.2,     
1914-05-04,08381002-5,RIO LAJA EN CURANILAHUE,90.0,*    
2009-08-01,08381003-3,RIO LAJA AG.ARR. DEL SALTO (REC.R.LAJA),24.2,     
1993-10-01,08381004-1,CANAL BATUCO EN BOCATOMA,1.8,     
1993-10-01,08381006-8,CANAL LA MANCHA EN BOCATOMA (REC.LAJA),1.05,*    
1993-10-01,08381007-6,ESTERO ZANJON SECO A.J. LAJA (REC.LAJA),0.54,*    
1993-10-01,08381008-4,CANAL DUEÑAS EN BOCATOMA (REC.LAJA),0.0,*    
1993-10-01,08381009-2,CANAL SALTOS LA AGUADA EN BOCATOMA (REC.R.LAJA),2.27,*    
1993-10-01,08381010-6,RIO LAJA EN PTE.LONGITUDINAL (REC.LAJA),147.0,     
1993-10-01,08381011-4,ESTERO BATUCO A.J. LAJA (REC.R.LAJA),2.8,     
1993-11-22,08382001-2,ESTERO CACHAPOAL A.J. LAJA (REC.R.LAJA),0.274,     
1993-10-01,08382002-0,CANAL QUILALES EN BOCATOMA (REC.R.LAJA),0.0,*    
1993-10-01,08382003-9,CANAL MORALES EN BOCATOMA (REC.R.LAJA),0.0,*    
1993-10-01,08382004-7,ESTERO CALIBORO A.J. LAJA (REC.R.LAJA),9.17,     
1957-08-28,08383001-8,RIO LAJA EN PUENTE PERALES,411.0,*    
1993-10-01,08383002-6,ESTERO POTRERADA A.J.LAJA (REC.R.LAJA),0.625,     
1985-01-09,08385001-9,RIO CLARO EN CAMINO YUMBEL-ESTACION,5.12,     
1983-11-04,08385002-7,RIO CLARO EN PUENTE CLARO,6.6,     
1993-10-01,08385003-5,RIO CLARO EN ESTAC. RIO CLARO (REC.LAJA),9.84,     
1971-04-01,08386001-4,RIO LAJA EN SAN ROSENDO,79.2,     
1993-10-01,08386002-2,RIO LAJA EN LA CANTERA (REC.R.LAJA),205.0,     
2009-05-21,08393002-0,ESTERO HUALQUI EN DESEMBOCADURA,2.86,     
1970-09-24,08394001-8,RIO BIOBIO EN DESEMBOCADURA,1064.0,     
1985-03-01,08430001-2,RIO LARAQUETE EN EL CAJON,0.46,     
1970-12-15,08530001-6,RIO CARAMPANGUE EN CARAMPANGUE,23.5,     
2009-06-01,08700002-8,RIO CURANILAHUE EN CURANILAHUE,0.226,<    
2009-06-25,08700003-6,ESTERO PLEGARIAS ANTES DE JTA RIO CURANILAHUE,0.78,     
1963-05-17,08720001-9,RIO LEBU EN LAS CORRIENTES (EN LOS ALAMOS),0.836,*    
1953-02-17,08820001-2,RIO CARAMAVIDA EN CARAMAVIDA,1.71,     
1950-08-10,08821001-8,RIO CAYUCUPIL EN CAYUCUPIL,9.7,     
1950-08-10,08821002-6,RIO BUTAMALAL EN BUTAMALAL,4.35,     
1950-09-29,08821003-4,RIO REPUTO EN REPUTO,0.7,     
2009-06-25,08821006-9,RIO LEIVA EN PUENTE CAMINO A CONTULMO,17.5,     
1953-12-06,08822001-3,RIO TUCAPEL EN CAGNETE,5.64,     
1987-08-01,08822002-1,RIO ELICURA EN PUENTE ELICURA,5.76,     
1972-04-01,08910001-1,RIO LLEU-LLEU EN DESAGUE LAGO LLEU-LLEU,6.4,     
1948-02-07,09101001-1,RIO PUREN EN TRANAMAN,2.39,*    
1994-09-01,09101002-K,RIO PUREN EN PUREN,9.73,     
1947-10-18,09102001-7,RIO LUMACO EN LUMACO,50.7,     
1948-02-09,09102002-5,RIO LUMACO EN SAN GERARDO,3.0,     
1947-10-17,09103001-2,RIO LUMACO EN CHANCO,31.2,     
1950-10-24,09104001-8,RIO TRAIGUEN EN VICTORIA,3.7,     
1987-01-01,09104002-6,RIO DUMO EN SANTA ANA,0.45,     
1982-09-10,09105001-3,RIO TRAIGUEN EN TRAIGUEN,33.9,     
1959-08-22,09106001-9,RIO QUINO EN LONGITUDINAL,34.5,     
1987-08-25,09107001-4,ESTERO CHUFQUEN EN CHUFQUEN,48.3,     
1969-09-01,09107002-2,ESTERO CHANCO CAMINO CURACAUTIN,1.53,     
1959-08-18,09111001-6,RIO QUILLEN EN LONGITUDINAL,23.4,     
1959-09-29,09113001-7,RIO QUILLEN EN GALVARINO,39.8,     
2016-09-09,09115000-K,RIO REPOCURA EN CHACAICO,27.6,     
1929-03-01,09116001-3,RIO CHOLCHOL EN CHOLCHOL,19.3,     
1928-11-14,09118001-4,RIO CHOLCHOL EN NUEVA IMPERIAL,35.7,     
1986-10-22,09122002-4,RIO BLANCO EN CURACAUTIN,6.37,     
1929-03-01,09123001-1,RIO CAUTIN EN RARI-RUCA,32.5,     
2018-07-09,09123003-8,RIO COLLIHUANQUI EN CAMINO A CURACAUTIN,5.05,     
1996-07-27,09126001-8,RIO COLLIN EN CODAHUE,6.39,     
1950-03-07,09127001-3,RIO MUCO EN PUENTE MUCO,2.2,*    
1923-12-09,09129001-4,RIO CAUTIN EN TEMUCO,150.0,     
1949-03-03,09129002-2,RIO CAUTIN EN CAJON,58.1,     
2016-07-01,09129008-1,ESTERO BOTROLHUE EN TEMUCO,0.249,     
2015-09-22,09129009-K,ESTERO BOTROLHUE EN LABRANZA,0.884,     
2017-01-27,09130002-8,RIO CALBUCO EN RUTA INTERLAGOS,2.63,     
1946-03-23,09131001-5,RIO QUEPE EN VILCUN,19.9,     
1985-01-17,09134001-1,RIO HUICHAHUE EN FAJA 24000,2.49,     
1929-12-13,09135001-7,RIO QUEPE EN QUEPE,52.9,     
1965-05-16,09140001-4,RIO CAUTIN EN ALMAGRO,293.0,*    
2016-05-16,09151002-2,RIO DAMAS EN CARAHUE,1.33,     
2015-01-27,09400000-9,RIO TRUFUL EN CAMINO INTERNACIONAL,28.2,     
1985-01-17,09402001-8,RIO ALLIPEN EN MELIPEUCO,73.4,     
1952-07-09,09402002-6,ESTERO MELIPEUCO,14.3,     
1946-03-18,09404001-9,RIO ALLIPEN EN LOS LAURELES,119.0,     
1986-10-31,09405001-4,RIO CURACO EN COLICO,22.7,     
2016-05-03,09405007-3,RIO TRAFAMPULLI EN RINCONADA,3.44,     
1929-04-09,09406001-K,RIO ALLIPEN EN ALLIPEN,115.0,     
1968-09-01,09412001-2,RIO TRANCURA EN CURARREHUE,22.7,     
1970-10-01,09414001-3,RIO TRANCURA ANTES RIO LLAFENCO,124.0,     
1971-10-01,09416001-4,RIO LIUCURA EN LIUCURA,35.8,     
2018-04-01,09418001-5,RIO PUCON EN BALSEADERO QUELHUE (CA),67.9,*    
1929-03-05,09420001-6,RIO TOLTEN EN VILLARICA,142.0,     
2015-03-28,09421002-K,RIO VOIPIR EN PUENTE VOIPIR,2.04,     
1946-12-14,09422001-7,RIO PEDREGOSO EN SANTA FILOMENA,6.66,     
1929-12-16,09423001-2,RIO TOLTEN EN COIPUE,292.0,     
1928-04-15,09430001-0,RIO TOLTEN EN PITRUFQUEN,255.0,     
1947-10-07,09433001-7,RIO PUYEHUE EN QUITRATUE,6.83,     
1947-10-08,09433002-5,ESTERO PUYEHUE EN LASTARRIA,2.74,     
1947-10-06,09434001-2,RIO DONGUIL EN GORBEA,36.3,     
1987-03-17,09436001-3,RIO MAHUIDANCHE EN SANTA ANA,2.28,     
1948-01-01,09437001-9,RIO TOLTEN EN HUILO,294.0,     
1991-02-12,09437002-7,RIO TOLTEN EN TEODORO SCHMIDT,188.0,     
1941-02-10,10100001-K,RIO HUAHUM EN DESEMBOCADURA LAGO PIRIHUEICO,21.9,     
1926-03-01,10100002-8,RIO FUI EN DESAGÜE LAGO PIRIHUEICO,17.0,     
2002-04-16,10100006-0,RIO HUAHUM EN LA FRONTERA,29.0,     
1986-07-22,10102001-0,RIO LIQUIÑE EN LIQUIÑE,24.6,     
2017-05-18,10107003-4,CANAL HUENINCA EN DESAGÜE LAGO CALAFQUEN,42.7,     
2017-06-26,10110002-2,RIO ENCO EN DESAGÜE LAGO PANGUIPULLI,528.0,     
